model,n,mean_error_bias,median_error,std_error,median_abs_error,q05_error,q25_error,q50_error,q75_error,q95_error,MAE,RMSE,MAPE_pct,win_rate_vs_other_pct
ARIMA,258,0.0012384014654385654,0.0012941619005460985,0.039705147272646374,0.0227770351986788,-0.05520142531667215,-0.021347687031509775,0.0012941619005460985,0.023185203106049726,0.058714667314329824,0.029117221690660777,0.039647470259492244,117.83344414733034,
LSTM_multivariate,258,-0.024632267438509325,-0.02376720790081235,0.03943318280661544,0.03166618317857755,-0.08157286155932483,-0.04982988365703773,-0.02376720790081235,-0.0030810922159218756,0.034861748195775866,0.03638681980477112,0.046429489196262344,596.8526640396713,
ARIMA_win_rate,258,,,,,,,,,,,,,65.11627906976744
LSTM_win_rate,258,,,,,,,,,,,,,34.883720930232556
TIES,258,,,,,,,,,,,,,0.0
ARIMA_calibrated,258,0.0021951435750990787,0.002250904010206612,0.039705147272646374,0.023330257920042334,-0.05424468320701164,-0.02039094492184926,0.002250904010206612,0.02414194521571024,0.059671409423990344,0.029184454824907197,0.039688876465617175,133.3726373023041,
LSTM_multivariate_calibrated,258,-0.02743509028612683,-0.026570030748429854,0.03943318280661544,0.033189621411023745,-0.08437568440694235,-0.05263270650465523,-0.026570030748429854,-0.005883915063539377,0.03205892534815836,0.03798940784624975,0.047975337902629984,659.4458419370795,
ARIMA_win_rate_calibrated,258,,,,,,,,,,,,,66.27906976744185
LSTM_win_rate_calibrated,258,,,,,,,,,,,,,33.72093023255814
TIES_calibrated,258,,,,,,,,,,,,,0.0
